feature,n_converged,n_failed,mean_converged,mean_failed,mannwhitney_U,p_value
T_C,124,50,1271.577620967742,1345.79,2010.5,0.00029132366975093783
liq_MgO,124,50,10.296129053215841,12.021644953915207,2265.5,0.005543581079445103
FeO_total,124,50,8.969677411202467,7.593009563947894,3886.0,0.008992882923073733
liq_Al2O3,124,50,15.092177425892123,13.879225751800837,3858.0,0.011761138126820057
SiO2,124,50,54.123467825612735,55.04908906203964,2463.0,0.03427272136442431
CaO,124,50,1.7037096815147712,1.5198596652361562,3665.0,0.06046390512763269
Al2O3,124,50,4.408870974259991,3.7349225499765657,3587.0,0.10567680359806632
P_kbar,124,50,11.57934070306401,12.080260026819554,3385.5,0.33993206835677947
MgO,124,50,30.06895163628361,31.237144057007175,2823.5,0.358671109364768
liq_CaO,124,50,9.09516127909383,9.130882316129359,2980.0,0.6910563511521158
liq_SiO2,124,50,50.60403214239304,50.8728199857962,2981.0,0.6935098380312072
