method,scope,n,rmse,rmse_ci_lo,rmse_ci_hi,coverage_pct,signed_bias,target
Ours opx-liq forest,fair,185,63.62591132901132,58.183969076497675,69.09662297190441,100.0,34.960560364901205,T_C
Ours opx-only forest,fair,185,108.34546899508204,99.16758971797472,118.74378534092929,100.0,82.55689710550242,T_C
Ours opx-liq boosted,fair,185,67.7178422503311,61.96086324209644,73.6516796320531,100.0,38.07472682643574,T_C
Ours opx-only boosted,fair,185,104.69667630451478,94.13856544237701,114.55002389744263,100.0,80.04701884501684,T_C
Putirka 2008 opx-liq,fair,185,50.0775731793228,45.02337987318451,55.267867876988156,100.0,28.04042659260565,T_C
Putirka 2008 opx-liq [true P],fair,185,47.40009010705322,41.77198974145053,53.106058363210764,100.0,30.315158463592585,T_C
Putirka 2008 opx-only,fair,92,58.93556716001941,48.38026734748789,69.22138439439202,49.729729729729726,20.308105858359053,T_C
Putirka 2008 opx-only [true T],fair,92,54.55022688798758,44.393876610312454,64.51230594098948,49.729729729729726,32.2982330058647,T_C
Ours opx-liq forest,fair,185,2.6501830881786086,2.397774914903437,2.9065403356713486,100.0,0.6783525249441636,P_kbar
Ours opx-only forest,fair,185,3.9093579135077077,3.4973969784438714,4.332955253542081,100.0,2.730537811045663,P_kbar
Ours opx-liq boosted,fair,185,2.7277309366113687,2.4193811466123134,3.051790684012732,100.0,0.41969547578966293,P_kbar
Ours opx-only boosted,fair,185,3.5650813742040324,3.1508068436088834,3.99524670526497,100.0,1.4958199737961229,P_kbar
Putirka 2008 opx-liq,fair,185,3.6006452355140985,3.2531048483902376,3.9679203128018727,100.0,-0.9686744678940226,P_kbar
Putirka 2008 opx-liq [true P],fair,185,3.4687582253611153,3.10141379865913,3.824739047159329,100.0,-1.3439338688918112,P_kbar
Putirka 2008 opx-only,fair,92,4.1399237817511985,3.2953466648582763,4.899956048165791,49.729729729729726,-2.128261114632628,P_kbar
Putirka 2008 opx-only [true T],fair,92,4.47392918768819,3.6231983642551544,5.276464556192308,49.729729729729726,-1.6480222941585903,P_kbar
