target,bin,mean_resid,median_resid,sem,ci_lo,ci_hi,n
T,"(904.0880000000001, 936.504]",60.72490164801784,68.4644410917258,5.378341987630488,50.183351352262086,71.2664519437736,40.0
T,"(936.504, 981.95]",34.044971424250036,38.82489614918279,8.448309475061732,17.486284853129042,50.60365799537103,39.0
T,"(981.95, 1022.732]",38.49245986872444,43.46585959179765,11.041314601944316,16.851483248913578,60.133436488535295,39.0
T,"(1022.732, 1126.865]",7.668923851600469,22.026955002135537,7.88070212530772,-7.777252314002662,23.1151000172036,39.0
T,"(1126.865, 1230.807]",44.8789931262345,47.49158813468944,6.437116626293612,32.26224453869902,57.495741713769974,40.0
P,"(2.838, 4.551]",1.016034967781349,1.2704633249769537,0.18542686701935343,0.6525983084234162,1.3794716271392817,40.0
P,"(4.551, 7.461]",1.9843114444232792,2.2040316144821217,0.3380619115609954,1.3217100977637282,2.6469127910828303,39.0
P,"(7.461, 8.187]",0.5937756513931336,0.8435737679593487,0.49059806749249374,-0.36779656089215407,1.5553478636784213,39.0
P,"(8.187, 9.103]",0.4135574417732228,1.3077001035448763,0.4580905787195447,-0.4843000925170849,1.3114149760635305,39.0
P,"(9.103, 13.119]",-0.5203568126697887,-0.4652474937897919,0.3953120568937665,-1.295168444181571,0.2544548188419935,40.0
