target,feature,pearson_r,p_value,significant
T,liq_SiO2,0.2908041408049327,3.3891724369866496e-05,True
P,liq_SiO2,0.06633545922300133,0.3543638448147984,False
T,liq_TiO2,-0.4276152705282462,3.6739637380671703e-10,True
P,liq_TiO2,-0.03543575169238614,0.6210557264955086,False
T,liq_Al2O3,-0.2741818520158657,9.66639988915561e-05,True
P,liq_Al2O3,-0.24033184156529158,0.0006695637573964049,True
T,liq_FeO,-0.24537843470491194,0.0005100544645394317,True
P,liq_FeO,0.06594241250385394,0.35722878591271046,False
T,liq_MgO,-0.15974529707472312,0.02494310744086478,False
P,liq_MgO,-0.006169049564223398,0.9314373738109569,False
T,liq_CaO,-0.20520717802180513,0.0038189720069043845,True
P,liq_CaO,-0.014298394619261266,0.8419337514709859,False
T,liq_Na2O,-0.30857817541550914,1.025711390308176e-05,True
P,liq_Na2O,-0.3021405554939639,1.5957538943675742e-05,True
T,liq_K2O,0.314044302256165,6.990053807685371e-06,True
P,liq_K2O,0.1292040547893003,0.07037071622807915,False
T,H2O_Liq,0.3661308800715891,1.2160532410567164e-07,True
P,H2O_Liq,-0.15751140192732865,0.027068670864957785,False
T,Mg_num,-0.2277565415189299,0.0012873632152856406,True
P,Mg_num,-0.04212736933676809,0.556677272934413,False
T,liq_Mg_num,-0.22850723280892082,0.0012392865854627094,True
P,liq_Mg_num,-0.10144354222380511,0.15606561642517688,False
