target,family,rmse_train,rmse_test,mae_test,r2_test
T_C,RF_baseline,25.585326327106326,87.54508606616841,60.01441611371538,0.6016963727819613
P_kbar,RF_baseline,1.5721760162287215,5.315850577532526,3.7850688988997137,0.6958261179812709
T_C,ExtraTrees,28.92612723584042,105.95745048198633,67.90390136245172,0.41653647277217554
P_kbar,ExtraTrees,2.086919881785775,7.644369077812439,5.270960465140697,0.3709869079692627
T_C,XGBoost_tuned,0.023495580241674544,93.6076720053406,65.37418619791667,0.5446203671814472
P_kbar,XGBoost_tuned,0.010498584678681384,5.434659661743199,3.903079017415481,0.6820776243717852
T_C,MLP_32_64_32,57.00634646351401,151.6121592481752,119.38293308667717,-0.19458973706169713
P_kbar,MLP_32_64_32,2.9536636857372764,5.057482705602883,3.874279107227074,0.7246752818290993
T_C,MLP_64_128_64,41.66245753303382,100.58366949796059,76.59381196663674,0.47421806011182777
P_kbar,MLP_64_128_64,4.259093734703552,6.262558975932746,4.595727953788721,0.5778371159224294
T_C,Ridge,65.26775030741551,86.83533631485365,59.1835137559184,0.6081284861097686
P_kbar,Ridge,4.780248145819236,6.639213309100656,5.106957125091196,0.5255290417250558
