file,sheet,has_opx,has_cpx,has_liq,paired,n_rows
Calc1.xlsx,Sheet1,False,True,True,False,5
Calc2.xlsx,Sheet1,False,True,True,False,5
Calc3.xlsx,Sheet1,False,True,True,False,5
Calc4.xlsx,Sheet1,False,True,True,False,5
Calcs5.xlsx,Sheet1,False,True,True,False,5
Five_min_intro.xlsx,Sheet1,False,True,True,False,5
Five_min_intro.xlsx,Liq_noheader,False,False,False,False,5
Five_min_intro.xlsx,wrong_header_caps,False,False,False,False,5
Five_min_intro.xlsx,no_feot,False,False,True,False,5
Five_min_intro.xlsx,Feo_Fe2O3,False,False,True,False,5
PetrologCalculations.xlsx,Petrolog_Output_FRAC_Olv,False,False,False,False,31
PetrologCalculations.xlsx,Petrolog_Output_FRAC_calc_param,False,False,False,False,21
PetrologCalculations.xlsx,Petrolog_Output_FRAC,False,False,False,False,31
Amphibole\Amphibole_Liquids.xlsx,Amp-Liq,False,False,True,False,22
Amphibole\Amphibole_Liquids.xlsx,Amp_only_for_plotting,False,False,False,False,21
Amphibole\Amphibole_Liquids.xlsx,Amp,False,False,False,False,22
Amphibole\Amphibole_Liquids.xlsx,Liq,False,False,True,False,6
Cpx_Cpx_Liq_Thermobarometry\ArcPL_Filtered_Dataset.xlsx,Sheet1,False,True,True,False,214
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liq_Example.xlsx,Sheet1,False,True,True,False,20
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liq_Example.xlsx,Sheet2,False,False,False,False,5
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liquid_melt_matching\Gleeson2020JPET_Input_Pyroxene_Melts.xlsx,Cpxs,False,True,False,False,78
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liquid_melt_matching\Gleeson2020JPET_Input_Pyroxene_Melts.xlsx,Melts,False,False,True,False,163
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liquid_melt_matching\Gleeson2020JPET_Input_Pyroxene_Melts.xlsx,NP_Out,False,False,False,False,27
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liquid_melt_matching\Scruggs_Input.xlsx,Liquids,False,False,True,False,96
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liquid_melt_matching\Scruggs_Input.xlsx,Cpxs,False,True,False,False,286
Cpx_Cpx_Liq_Thermobarometry\Cpx_Liquid_melt_matching\Scruggs_Input.xlsx,Opxs,True,False,False,False,28
Error_propagation\Cpx_Liq_Error_prop_Feig2010_example.xlsx,Sheet1,False,True,True,False,7
Error_propagation\Gleeson2020_Cpx_Comps.xlsx,Sheet1,False,False,False,False,48
Error_propagation\Liquid_Errors.xlsx,SM Tab4,False,False,True,False,10
Error_propagation\Liquid_Errors.xlsx,Error_Example_Abs,False,False,True,False,10
Error_propagation\Liquid_Errors.xlsx,Error_Example_Perc,False,False,True,False,10
Feldspar_Thermobarometry\Feldspar_Liquid.xlsx,Plag_Liquid,False,False,True,False,28
Feldspar_Thermobarometry\Feldspar_Liquid.xlsx,Kspar_Liquid,False,False,True,False,15
Feldspar_Thermobarometry\Feldspar_Liquid.xlsx,Plag_only,False,False,False,False,28
Feldspar_Thermobarometry\Feldspar_Liquid.xlsx,Liq_only,False,False,True,False,24
Feldspar_Thermobarometry\Feldspar_Liquid.xlsx,Kspar_only,False,False,False,False,15
Feldspar_Thermobarometry\Feldspar_Liquid.xlsx,Evolved_Liq_only,False,False,True,False,15
Feldspar_Thermobarometry\Two_Feldspar_input.xlsx,Paired_Plag_Kspar,False,False,False,False,16
Feldspar_Thermobarometry\Two_Feldspar_input.xlsx,Plag,False,False,False,False,7
Feldspar_Thermobarometry\Two_Feldspar_input.xlsx,Kspar,False,False,False,False,11
Garnet_Geotherms\Group1_Kimberley.xlsx,Sheet1,False,False,False,False,5520
Garnet_Geotherms\Group_1_PT_solution.xlsx,Group_1_PT_solution,False,False,False,False,5520
Garnet_Geotherms\PT_Sudholz.xlsx,PT_Sudholz,False,False,False,False,117
Garnet_Geotherms\Tappe2021.xlsx,Sheet1,True,True,False,True,13
General_Plotting\Plotting_inputs_Amp_Cpx_Ol_Fspar.xlsx,Info,False,False,False,False,15
General_Plotting\Plotting_inputs_Amp_Cpx_Ol_Fspar.xlsx,Olivines_F8,False,False,False,False,103
General_Plotting\Plotting_inputs_Amp_Cpx_Ol_Fspar.xlsx,Glass_F8,False,False,True,False,61
General_Plotting\Plotting_inputs_Amp_Cpx_Ol_Fspar.xlsx,Pyroxenes_F8,False,True,False,False,81
General_Plotting\Plotting_inputs_Amp_Cpx_Ol_Fspar.xlsx,Plagioclase_F8,False,False,False,False,101
General_Plotting\Plotting_inputs_Amp_Cpx_Ol_Fspar.xlsx,Amphibole_Shiveluch,False,False,False,False,41
Integration_with_VESIcal\Ol_hosted_melt_inclusions.xlsx,Ol-Liq,False,False,True,False,9
Integration_with_VESIcal\Ol_hosted_melt_inclusions.xlsx,Info,False,False,False,False,0
Liquid_Ol_Liq_Themometry\2018_Olivines_Glasses.xlsx,Matrix_Glasses,False,False,False,False,294
Liquid_Ol_Liq_Themometry\2018_Olivines_Glasses.xlsx,MIs_Ols,False,False,False,False,88
Liquid_Ol_Liq_Themometry\2018_Olivines_Glasses.xlsx,LL4_MGs,False,False,False,False,19
Liquid_Ol_Liq_Themometry\2018_Olivines_Glasses.xlsx,LL4_Ols,False,False,False,False,23
Liquid_Ol_Liq_Themometry\Cascade_Liqs.xlsx,Sheet1,False,False,True,False,16
Liquid_Ol_Liq_Themometry\Liquid_only_Thermometry.xlsx,Liquid_only,False,False,True,False,10
Liquid_Ol_Liq_Themometry\Liquid_only_Thermometry.xlsx,Ol-Liq,False,False,True,False,10
Liquid_Ol_Liq_Themometry\Thermometry_out.xlsx,Sheet1,False,False,True,False,10
Liquid_Ol_Liq_Themometry\Thermometry_out1.xlsx,Sheet1,False,False,True,False,10
Melt_Inclusion_FeMg_Equilibrium\2018_MIs_Glasses.xlsx,Matrix_Glasses,False,False,False,False,294
Melt_Inclusion_FeMg_Equilibrium\2018_MIs_Glasses.xlsx,MIs_Ols,False,False,True,False,88
Melt_Inclusion_FeMg_Equilibrium\2018_MIs_Glasses.xlsx,LL4_MGs,False,False,False,False,19
Melt_Inclusion_FeMg_Equilibrium\2018_MIs_Glasses.xlsx,LL4_MIs,False,False,True,False,23
Mineral_Eq_Contents_from_LLD\Model9_BaliOnlyLang_Closedsystem_32kbar_NiCu_02.xlsx,Petrolog_Output_FRAC_Plg,False,False,False,False,70
Mineral_Eq_Contents_from_LLD\Model9_BaliOnlyLang_Closedsystem_32kbar_NiCu_02.xlsx,Petrolog_Output_FRAC_Olv,False,False,False,False,68
Mineral_Eq_Contents_from_LLD\Model9_BaliOnlyLang_Closedsystem_32kbar_NiCu_02.xlsx,Petrolog_Output_FRAC_Cpx,False,False,False,False,77
Mineral_Eq_Contents_from_LLD\Model9_BaliOnlyLang_Closedsystem_32kbar_NiCu_02.xlsx,Petrolog_Output_FRAC_calc_param,False,False,False,False,25
Mineral_Eq_Contents_from_LLD\Model9_BaliOnlyLang_Closedsystem_32kbar_NiCu_02.xlsx,Petrolog_Output_FRAC,False,True,False,False,77
Mineral_Eq_Contents_from_LLD\Model9_BaliOnlyLang_Closedsystem_32kbar_NiCu_02.xlsx,Thermobar_input,False,False,True,False,77
Mineral_Eq_Contents_from_LLD\Petrolog_FC_Path.xlsx,Sheet1,False,False,True,False,77
Mineral_Eq_Contents_from_LLD\Petrolog_FC_Path.xlsx,Cpx_with_Sulf,False,False,False,False,43
Mineral_Eq_Contents_from_LLD\Petrolog_FC_Path.xlsx,Ol_with_Sulf,False,False,False,False,11
Mineral_Eq_Contents_from_LLD\Petrolog_FC_Path.xlsx,Plag_with_Sulf,False,False,False,False,46
Mineral_Eq_Contents_from_LLD\Petrolog_FC_Path.xlsx,Matrix_Glasses,False,False,False,False,45
Opx_and_Opx_Liq_Thermobarometry\Opx_Liq_Example.xlsx,Paired_Opx_Liq,True,False,True,False,5
Opx_and_Opx_Liq_Thermobarometry\Opx_Liq_Example.xlsx,Separate_Opxs,True,False,False,False,5
Opx_and_Opx_Liq_Thermobarometry\Opx_Liq_Example.xlsx,Separate_Liqs,False,False,True,False,6
Other_features\branchetti_2021.xlsx,Sheet_1,False,False,False,False,39
Other_features\Example_Liq_Px_Amp.xlsx,Pyroxene,False,True,False,False,574
Other_features\Example_Liq_Px_Amp.xlsx,Olivine,False,False,False,False,964
Other_features\Example_Liq_Px_Amp.xlsx,Feldspar,False,False,False,False,79
Other_features\Example_Liq_Px_Amp.xlsx,Amphibole,False,False,False,False,38
Other_features\Example_Liq_Px_Amp.xlsx,Liquid,False,False,True,False,51
Other_features\Example_Liq_Px_Amp.xlsx,Info,False,False,False,False,0
Other_features\Example_Pressure_data.xlsx,Sheet1,False,False,False,False,80
Other_features\Example_Pressure_data.xlsx,Validate,False,False,False,False,7
Other_features\KilaueaPyroxenes.xlsx,Sheet1,False,True,False,False,81
Other_features\Ox_to_element.xlsx,Sheet1,False,False,False,False,21
Other_features\Ox_to_element.xlsx,Plag,False,False,False,False,21
Other_features\Redox_Conversions.xlsx,Liqs,False,False,False,False,49
Other_features\Redox_Conversions.xlsx,Pichavent_2018,False,False,True,False,1
Other_features\Viscoity_Giordano.xlsx,Sheet1,False,False,False,False,1
Other_features\Viscoity_Giordano.xlsx,MELTSTest2,False,False,True,False,68
Other_features\Viscoity_Giordano.xlsx,MELTSTest,False,False,False,False,49
Other_features\Viscoity_Giordano.xlsx,MELTS_Test3_RhyoliteAscent,False,False,True,False,74
Other_features\Viscoity_Giordano.xlsx,MELTS_test4_BA_Ascent,False,False,True,False,74
Two_Pyroxene_Thermobarometry\AllMatches.xlsx,Sheet1,True,True,False,True,437
Two_Pyroxene_Thermobarometry\Cpx-Opx_outputs.xlsx,Sheet1,True,True,False,True,23
Two_Pyroxene_Thermobarometry\FileName.xlsx,Sheet1,True,True,False,True,86
Two_Pyroxene_Thermobarometry\HighTMatches.xlsx,Sheet1,True,True,False,True,149
Two_Pyroxene_Thermobarometry\Two_pyroxene_input.xlsx,Paired_Cpx_Opx,True,True,False,True,23
Two_Pyroxene_Thermobarometry\Two_pyroxene_input.xlsx,Cpx,False,True,False,False,23
Two_Pyroxene_Thermobarometry\Two_pyroxene_input.xlsx,Opx,True,False,False,False,19
