target,model,model_type,rmse_train,rmse_test,mae_test,r2_test,cv_rmse_mean,cv_rmse_std,train_test_ratio,n_train_studies,n_test_studies
T_C,RF,opx_only,102.08968164155684,193.8072399825695,148.3851751356156,0.20217316580698053,156.0068018000045,13.976390130933472,0.5267588643785366,100,26
T_C,ERT,opx_only,124.9599980594249,186.7248590379902,142.46036411423503,0.259418385333829,156.98886057468115,13.271192033505152,0.669219935166753,100,26
T_C,XGB,opx_only,92.88118255526949,194.46501457685025,149.52108523142422,0.1967483862011895,157.38653733868222,13.064264832356944,0.47762412564221907,100,26
T_C,GB,opx_only,152.86169408341877,185.01216769915555,141.34153324771955,0.2729417129141838,166.22071587219384,14.258067720411852,0.8262250855413142,100,26
P_kbar,RF,opx_only,6.909012333434547,15.443823457371314,10.213146060083101,0.1675651390852626,10.107578048806783,0.18930428126313997,0.44736410983362324,100,26
P_kbar,ERT,opx_only,8.247497805265892,15.703194206345716,10.405657829482095,0.13936975157344667,10.133885116248292,0.26377964957229205,0.5252114758876923,100,26
P_kbar,XGB,opx_only,5.562074404910411,15.486494315533172,10.162760920428777,0.16295879515132672,10.332617562910235,0.14579503767312216,0.3591564553981447,100,26
P_kbar,GB,opx_only,9.199659518395194,15.850911712501457,10.676154530792008,0.12310196565207898,10.583311834271809,0.4562642841509495,0.5803867742913181,100,26
T_C,RF,opx_liq,35.551421783631994,124.01769432539336,67.92490652729632,0.442348662415771,67.69347018585876,16.089611153511797,0.28666410851304325,74,19
T_C,ERT,opx_liq,26.190260823515402,125.7113059077838,69.10019362745096,0.42701385818326343,66.42525042429995,16.15999097595906,0.20833655838980314,74,19
T_C,XGB,opx_liq,6.322787119224681,123.51190355522073,68.44154878504136,0.4468880104194508,72.31244579906198,11.11718541233126,0.05119172271843286,74,19
T_C,GB,opx_liq,35.19653873284751,124.39921928049544,70.06017067067488,0.43891229530290077,68.32243969118201,14.53505661217519,0.28293215131428057,74,19
P_kbar,RF,opx_liq,1.8643820957110417,6.144767858407106,4.281080791282267,0.6208361854085728,3.9049465289341256,0.5448099386501504,0.30340968750515845,74,19
P_kbar,ERT,opx_liq,0.0008604173809092895,6.636293972501154,4.310640138354478,0.5577506991295098,3.5522487001567242,0.5991056031301003,0.00012965329511842086,74,19
P_kbar,XGB,opx_liq,0.0027094661291512372,6.426723300143681,4.421683652487575,0.5852416607050259,4.066686443911331,0.44819123147852413,0.00042159371154047693,74,19
P_kbar,GB,opx_liq,1.7263106829712438,5.565630802601167,3.8770760543211735,0.6889396109501671,3.84113017888541,0.5910241993479676,0.3101734096635427,74,19
