strategy,model_name,target,feature_set,n_folds,rmse,mae,r2,bias,n
LOSO,RF,T_C,pwlr,93,74.65005093542757,52.80416888165847,0.8209160884916735,3.048441495618579,600
LOSO,RF,P_kbar,pwlr,93,5.9278684191603235,3.8103402931901615,0.5990231463821463,-0.14894609507574774,600
LOSO,ERT,T_C,pwlr,93,78.3979797964881,55.52455787634433,0.802482264363069,6.045357547737757,600
LOSO,ERT,P_kbar,pwlr,93,6.0926455079496895,3.8290208823758,0.5764213969863836,-0.04640538777211734,600
LOSO,XGB,T_C,pwlr,93,84.0148340632383,59.856328533965886,0.7731659208781774,5.5859086627401044,600
LOSO,XGB,P_kbar,pwlr,93,5.355036538313889,3.7703572127197837,0.67277455235769,0.610250069818941,600
LOSO,GB,T_C,pwlr,93,77.2266907851286,56.13604017158137,0.8083401227552319,2.2381232578226307,600
LOSO,GB,P_kbar,pwlr,93,5.93138762481554,3.934906000951377,0.5985469081184689,0.8456503328964813,600
Cluster-KFold,RF,T_C,pwlr,3,103.29876192270079,79.38802100638559,0.657084917253765,3.966392200006782,600
Cluster-KFold,RF,P_kbar,pwlr,3,6.778360389238183,4.608575521163621,0.4757100841144464,-0.41268536161758745,600
Cluster-KFold,ERT,T_C,pwlr,3,115.19555881831606,81.12119801340634,0.5735502869234386,14.705794296752629,600
Cluster-KFold,ERT,P_kbar,pwlr,3,6.804095246970132,4.521957768774282,0.47172146780718427,-0.4752998023439943,600
Cluster-KFold,XGB,T_C,pwlr,3,113.90951757330832,86.35624430415851,0.5830188911518249,1.2302572141723962,600
Cluster-KFold,XGB,P_kbar,pwlr,3,6.377233628182464,4.506744490790867,0.5359264154971854,0.6145495911161575,600
Cluster-KFold,GB,T_C,pwlr,3,104.71395027964817,78.61779753433153,0.6476247137615658,8.525428182406936,600
Cluster-KFold,GB,P_kbar,pwlr,3,6.971278328523189,4.574788124322665,0.4454419189776079,1.4915254884977471,600
TargetBinKFold,RF,T_C,pwlr,9,101.69073955363693,79.3629476121872,0.6676779437832178,-6.6229906509385685,600
TargetBinKFold,RF,P_kbar,pwlr,9,8.432043528302012,6.054219741346945,0.18868804929220895,0.14575545957137345,600
TargetBinKFold,ERT,T_C,pwlr,9,106.95059218815534,81.8534129471994,0.6324108008796603,-7.313848575999618,600
TargetBinKFold,ERT,P_kbar,pwlr,9,8.43144881944791,5.877861333839229,0.1888024883089977,-0.10489278741183104,600
TargetBinKFold,XGB,T_C,pwlr,9,107.71844903764519,81.8732662004254,0.6271136049819606,-7.824983060892708,600
TargetBinKFold,XGB,P_kbar,pwlr,9,7.750615852660129,5.588412880527101,0.3145202681373688,0.43831045033737753,600
TargetBinKFold,GB,T_C,pwlr,9,97.7038211029147,74.9761057521208,0.6932253618078625,-8.625090807488535,600
TargetBinKFold,GB,P_kbar,pwlr,9,7.74884419849764,5.583819908447605,0.31483360948839156,0.60979692039188,600
