track,target,model_name,rmse_test_mean,rmse_test_std,mae_test_mean,r2_test_mean,n_seeds,feature_set,phase3r_tag
opx_liq,P_kbar,ERT,7.180331865981098,1.5500031075188896,4.6655478862583735,0.4171224057614123,20,alr,
opx_liq,P_kbar,GB,5.565606069551456,1.0852823907948328,4.0600912009283485,0.6528466785296343,20,alr,
opx_liq,P_kbar,RF,5.961391634598352,1.1946662255614873,3.771160721846227,0.6092421444949204,20,alr,
opx_liq,P_kbar,XGB,5.426326863270439,0.9202929587462884,4.076836186128606,0.6658122603608163,20,alr,winner
opx_liq,T_C,ERT,83.64327083809964,11.470467094025713,61.14649462615819,0.7274948901873801,20,alr,
opx_liq,T_C,GB,81.65305236252172,11.550668368043246,60.71693807433466,0.7403762739269107,20,alr,
opx_liq,T_C,RF,80.389607737485,12.017716012604488,57.95927416855617,0.7485514503858727,20,alr,winner
opx_liq,T_C,XGB,84.53913801950651,12.781811242610154,61.790992741334364,0.7248652027513593,20,alr,
opx_only,P_kbar,ERT,11.300168782795511,3.1696950003740207,7.147908131237021,0.189114158836744,20,alr,
opx_only,P_kbar,GB,11.293439502439986,2.8095576356129364,7.387945730614692,0.18257275770207723,20,alr,
opx_only,P_kbar,RF,11.57315069376397,3.07621512327086,7.058154071624709,0.1580551716817294,20,alr,winner
opx_only,P_kbar,XGB,10.704628011022361,2.753973033952015,7.055185829226366,0.272717172596903,20,alr,
opx_only,T_C,ERT,149.58139670662564,18.00876998018405,110.19512906494128,0.4272896916422618,20,alr,
opx_only,T_C,GB,147.1185663027461,16.326927785588143,111.41264933198283,0.4506340576568874,20,alr,
opx_only,T_C,RF,144.38319703617546,16.144874882386052,107.45625382998728,0.4682501861006537,20,alr,winner
opx_only,T_C,XGB,144.94917909738078,16.186173274510203,108.14212080701182,0.46674289556930654,20,alr,
